sku_id,sku_name,category,subcategory,uom,unit_cost_inr,weight_kg,volume_m3,lead_time_days,moq,abc_class,lot_tracked,shelf_life_days,data_provenance
YGC-BEV-0074,Yugam Lime Sparkling soft_drink 2,beverages,soft_drink,CASE,67.13,0.56,0.001,5,24,B,true,180,synthetic
YGC-BEV-0075,Yugam Lime Sparkling soft_drink 3,beverages,soft_drink,CASE,33.49,1.079,0.0024,10,96,B,true,180,synthetic
YGC-BEV-0076,Yugam Cola PET soft_drink 4,beverages,soft_drink,CASE,74.22,1.136,0.0026,7,72,A,true,180,synthetic
YGC-BEV-0077,Yugam Cola PET soft_drink 5,beverages,soft_drink,CASE,76.4,1.015,0.0023,7,24,B,true,180,synthetic
YGC-BEV-0078,Yugam Cola PET soft_drink 6,beverages,soft_drink,CASE,60.03,0.511,0.0006,7,48,C,true,180,synthetic
YGC-BEV-0079,Yugam Cola PET soft_drink 7,beverages,soft_drink,CASE,64.4,0.671,0.0011,14,96,C,true,180,synthetic
YGC-BEV-0080,Yugam Cola PET soft_drink 8,beverages,soft_drink,CASE,32.02,0.771,0.0014,5,144,C,true,180,synthetic
YGC-BEV-0081,Yugam Mango Drink juice 1,beverages,juice,CASE,148.72,0.937,0.0022,7,72,B,true,120,synthetic
YGC-BEV-0082,Yugam Mixed Fruit juice 2,beverages,juice,CASE,68.09,0.918,0.0025,3,96,A,true,120,synthetic
YGC-BEV-0083,Yugam Mixed Fruit juice 3,beverages,juice,CASE,128.98,0.478,0.0012,5,72,B,true,120,synthetic
YGC-BEV-0084,Yugam Mixed Fruit juice 4,beverages,juice,CASE,73.45,0.707,0.0019,3,144,C,true,120,synthetic
YGC-BEV-0085,Yugam Mixed Fruit juice 5,beverages,juice,CASE,147.91,0.731,0.002,14,144,B,true,120,synthetic
YGC-BEV-0086,Yugam Mixed Fruit juice 6,beverages,juice,CASE,112.66,0.552,0.0006,14,48,C,true,120,synthetic
YGC-BEV-0087,Yugam Instant Coffee tea_coffee 1,beverages,tea_coffee,CASE,391.13,0.47,0.0014,3,96,A,true,365,synthetic
YGC-BEV-0088,Yugam Instant Coffee tea_coffee 2,beverages,tea_coffee,CASE,338.45,0.311,0.0006,7,96,A,true,365,synthetic
YGC-BEV-0089,Yugam Instant Coffee tea_coffee 3,beverages,tea_coffee,CASE,276.41,0.36,0.0007,14,48,A,true,365,synthetic
YGC-BEV-0090,Yugam Leaf Tea tea_coffee 4,beverages,tea_coffee,CASE,433.36,0.153,0.0004,14,24,C,true,365,synthetic
YGC-BEV-0091,Yugam Leaf Tea tea_coffee 5,beverages,tea_coffee,CASE,240.56,0.22,0.0006,5,72,C,true,365,synthetic
YGC-BEV-0092,Yugam Instant Coffee tea_coffee 6,beverages,tea_coffee,CASE,175.04,0.167,0.0004,5,48,B,true,365,synthetic
YGC-BEV-0093,Yugam Instant Coffee tea_coffee 7,beverages,tea_coffee,CASE,512.32,0.483,0.0008,14,72,C,true,365,synthetic
YGC-BEV-0094,Yugam Leaf Tea tea_coffee 8,beverages,tea_coffee,CASE,320.23,0.399,0.0005,7,48,C,true,365,synthetic
YGC-STA-0095,Yugam Whole Wheat Atta atta_rice 1,staples,atta_rice,CASE,144.17,1.233,0.0021,7,72,C,true,270,synthetic
YGC-STA-0096,Yugam Whole Wheat Atta atta_rice 2,staples,atta_rice,CASE,150.65,4.476,0.0053,10,48,C,true,270,synthetic
YGC-STA-0097,Yugam Whole Wheat Atta atta_rice 3,staples,atta_rice,CASE,98.22,3.646,0.0073,7,48,B,true,270,synthetic
YGC-STA-0098,Yugam Basmati Rice atta_rice 4,staples,atta_rice,CASE,194.22,2.838,0.0049,5,72,B,true,270,synthetic
YGC-STA-0099,Yugam Basmati Rice atta_rice 5,staples,atta_rice,CASE,237.02,3.236,0.0064,5,48,A,true,270,synthetic
YGC-STA-0100,Yugam Whole Wheat Atta atta_rice 6,staples,atta_rice,CASE,120.79,3.716,0.0088,3,48,A,true,270,synthetic
YGC-STA-0101,Yugam Basmati Rice atta_rice 7,staples,atta_rice,CASE,87.86,4.792,0.0142,3,144,C,true,270,synthetic
YGC-STA-0102,Yugam Basmati Rice atta_rice 8,staples,atta_rice,CASE,107.42,2.461,0.0025,14,96,C,true,270,synthetic
YGC-STA-0103,Yugam Blended Oil cooking_oil 1,staples,cooking_oil,CASE,281.1,1.19,0.0031,14,48,C,true,365,synthetic
YGC-STA-0104,Yugam Blended Oil cooking_oil 2,staples,cooking_oil,CASE,244.54,2.229,0.0024,14,72,C,true,365,synthetic
YGC-STA-0105,Yugam Sunflower Oil cooking_oil 3,staples,cooking_oil,CASE,272.13,1.626,0.0043,14,144,C,true,365,synthetic
YGC-STA-0106,Yugam Blended Oil cooking_oil 4,staples,cooking_oil,CASE,217.93,1.069,0.0012,14,96,B,true,365,synthetic
YGC-STA-0107,Yugam Blended Oil cooking_oil 5,staples,cooking_oil,CASE,383.71,2.58,0.0075,14,96,B,true,365,synthetic
YGC-STA-0108,Yugam Sunflower Oil cooking_oil 6,staples,cooking_oil,CASE,416.4,1.182,0.0014,3,48,B,true,365,synthetic
YGC-HEA-0109,Yugam Honey Herbal ayurveda 1,health,ayurveda,CASE,84.38,0.114,0.0003,14,144,A,true,540,synthetic
YGC-HEA-0110,Yugam Honey Herbal ayurveda 2,health,ayurveda,CASE,252.14,0.192,0.0004,7,96,C,true,540,synthetic
YGC-HEA-0111,Yugam Honey Herbal ayurveda 3,health,ayurveda,CASE,137.22,0.358,0.0006,3,96,A,true,540,synthetic
YGC-HEA-0112,Yugam Chyawanprash ayurveda 4,health,ayurveda,CASE,185.25,0.331,0.0007,14,96,B,true,540,synthetic
YGC-HEA-0113,Yugam Chyawanprash ayurveda 5,health,ayurveda,CASE,199.75,0.166,0.0004,14,96,C,true,540,synthetic
YGC-HEA-0114,Yugam Honey Herbal ayurveda 6,health,ayurveda,CASE,137.85,0.256,0.0004,10,144,A,true,540,synthetic
YGC-ORA-0115,Yugam Cavity Guard toothpaste 1,oral_care,toothpaste,CASE,173.68,0.095,0.0002,5,144,A,true,730,synthetic
YGC-ORA-0116,Yugam Cavity Guard toothpaste 2,oral_care,toothpaste,CASE,106.73,0.177,0.0005,10,96,C,true,730,synthetic
YGC-ORA-0117,Yugam Cavity Guard toothpaste 3,oral_care,toothpaste,CASE,71.55,0.112,0.0003,14,72,C,true,730,synthetic
YGC-ORA-0118,Yugam Cavity Guard toothpaste 4,oral_care,toothpaste,CASE,79.47,0.192,0.0002,14,24,C,true,730,synthetic
YGC-ORA-0119,Yugam Cavity Guard toothpaste 5,oral_care,toothpaste,CASE,93.02,0.186,0.0005,10,144,B,true,730,synthetic
YGC-ORA-0120,Yugam Cavity Guard toothpaste 6,oral_care,toothpaste,CASE,174.19,0.188,0.0006,10,24,B,true,730,synthetic
YGC-BAB-0121,Yugam Baby Diaper Pack diaper_wipes 1,baby_care,diaper_wipes,CASE,443.34,0.367,0.0004,14,24,B,true,730,synthetic
YGC-BAB-0122,Yugam Wipes Tub diaper_wipes 2,baby_care,diaper_wipes,CASE,182.09,0.62,0.0013,14,144,B,true,730,synthetic
YGC-BAB-0123,Yugam Baby Diaper Pack diaper_wipes 3,baby_care,diaper_wipes,CASE,372.87,0.232,0.0004,14,96,B,true,730,synthetic
YGC-BAB-0124,Yugam Baby Diaper Pack diaper_wipes 4,baby_care,diaper_wipes,CASE,164.15,0.448,0.0009,10,144,A,true,730,synthetic
