sku_id,lot_id,mfg_date,expiry_date,qty,node_id,data_provenance
YGM-IMP-0042,LOT-000061,2026-04-01,,407,SVC-CHN,synthetic
YGM-IMP-0042,LOT-000062,2026-02-19,,40,SVC-CHN,synthetic
YGM-IMP-0043,LOT-000063,2025-08-08,,115,DC-MUM,synthetic
YGM-IMP-0043,LOT-000064,2025-12-18,,401,DC-MUM,synthetic
YGM-IMP-0044,LOT-000065,2026-01-14,,444,DC-MUM,synthetic
YGM-IMP-0045,LOT-000066,2025-09-01,,133,DC-MUM,synthetic
YGM-IMP-0045,LOT-000067,2026-04-09,,343,PLT-PUNE,synthetic
YGM-IMP-0046,LOT-000068,2026-05-28,,188,DC-MUM,synthetic
YGM-IMP-0046,LOT-000069,2025-08-07,,170,PLT-PUNE,synthetic
YGM-IMP-0047,LOT-000070,2026-01-20,,31,DC-MUM,synthetic
YGM-IMP-0047,LOT-000071,2025-11-01,,274,PLT-PUNE,synthetic
YGM-IMP-0048,LOT-000072,2025-10-04,,234,WH-DEL,synthetic
YGM-IMP-0049,LOT-000073,2025-10-16,2027-10-16,262,DC-MUM,synthetic
YGM-IMP-0050,LOT-000074,2025-07-02,2027-07-02,271,WH-DEL,synthetic
YGM-IMP-0051,LOT-000075,2025-07-10,2027-07-10,498,PLT-PUNE,synthetic
YGM-IMP-0051,LOT-000076,2026-05-04,2028-05-03,250,WH-BLR,synthetic
YGM-IMP-0051,LOT-000077,2025-10-29,2027-10-29,356,PLT-PUNE,synthetic
YGM-IMP-0051,LOT-000078,2025-09-26,2027-09-26,369,WH-BLR,synthetic
YGM-IMP-0052,LOT-000079,2026-04-24,2028-04-23,169,SVC-CHN,synthetic
YGM-IMP-0053,LOT-000080,2026-05-02,2028-05-01,69,WH-DEL,synthetic
YGM-IMP-0053,LOT-000081,2025-07-20,2027-07-20,329,SVC-CHN,synthetic
YGM-IMP-0054,LOT-000082,2025-11-21,2027-11-21,310,SVC-CHN,synthetic
YGM-IMP-0054,LOT-000083,2026-01-05,2028-01-05,237,SVC-CHN,synthetic
YGM-IMP-0054,LOT-000084,2025-07-30,2027-07-30,225,PLT-PUNE,synthetic
YGM-DIS-0055,LOT-000085,2025-07-04,2028-07-03,338,SVC-CHN,synthetic
YGM-DIS-0056,LOT-000086,2025-10-27,2028-10-26,236,DC-MUM,synthetic
YGM-DIS-0056,LOT-000087,2025-11-05,2028-11-04,178,WH-BLR,synthetic
YGM-DIS-0057,LOT-000088,2025-11-04,2028-11-03,378,PLT-PUNE,synthetic
YGM-DIS-0057,LOT-000089,2025-12-26,2028-12-25,223,WH-DEL,synthetic
YGM-DIS-0057,LOT-000090,2025-06-29,2028-06-28,135,WH-DEL,synthetic
YGM-DIS-0057,LOT-000091,2026-03-18,2029-03-17,356,WH-BLR,synthetic
YGM-DIS-0058,LOT-000092,2026-04-19,2029-04-18,430,PLT-PUNE,synthetic
YGM-DIS-0059,LOT-000093,2025-10-26,2028-10-25,54,WH-DEL,synthetic
YGM-DIS-0060,LOT-000094,2025-08-24,2028-08-23,35,SVC-CHN,synthetic
YGM-DIS-0060,LOT-000095,2025-08-21,2028-08-20,292,WH-DEL,synthetic
YGM-DIS-0061,LOT-000096,2025-11-06,2028-11-05,186,WH-BLR,synthetic
YGM-DIS-0062,LOT-000097,2026-01-08,2029-01-07,312,WH-DEL,synthetic
YGM-DIS-0063,LOT-000098,2026-04-12,2029-04-11,300,SVC-CHN,synthetic
YGM-DIS-0063,LOT-000099,2026-02-16,2029-02-15,84,WH-BLR,synthetic
YGM-DIS-0063,LOT-000100,2026-02-10,2029-02-09,438,PLT-PUNE,synthetic
YGM-DIS-0064,LOT-000101,2025-08-24,2028-08-23,193,PLT-PUNE,synthetic
YGM-DIS-0064,LOT-000102,2026-01-13,2029-01-12,298,DC-MUM,synthetic
YGM-DIS-0064,LOT-000103,2025-10-28,2028-10-27,437,SVC-CHN,synthetic
YGM-DIS-0065,LOT-000104,2025-07-28,2028-07-27,480,WH-DEL,synthetic
YGM-DIS-0066,LOT-000105,2026-03-04,2029-03-03,144,WH-DEL,synthetic
YGM-DIS-0067,LOT-000106,2025-12-07,2027-12-07,8,DC-MUM,synthetic
YGM-DIS-0067,LOT-000107,2026-03-23,2028-03-22,294,WH-BLR,synthetic
YGM-DIS-0067,LOT-000108,2026-04-30,2028-04-29,77,PLT-PUNE,synthetic
YGM-DIS-0068,LOT-000109,2025-09-06,2027-09-06,115,WH-BLR,synthetic
YGM-DIS-0069,LOT-000110,2025-10-15,2027-10-15,179,DC-MUM,synthetic
YGM-DIS-0069,LOT-000111,2025-11-27,2027-11-27,164,WH-DEL,synthetic
YGM-DIS-0069,LOT-000112,2025-08-18,2027-08-18,310,PLT-PUNE,synthetic
YGM-DIS-0069,LOT-000113,2026-05-09,2028-05-08,84,DC-MUM,synthetic
YGM-DIS-0070,LOT-000114,2025-06-24,2027-06-24,46,WH-DEL,synthetic
YGM-DIS-0071,LOT-000115,2025-07-01,2027-07-01,222,WH-BLR,synthetic
YGM-DIS-0071,LOT-000116,2025-07-29,2027-07-29,231,WH-BLR,synthetic
YGM-DIS-0071,LOT-000117,2026-01-16,2028-01-16,115,SVC-CHN,synthetic
YGM-DIS-0071,LOT-000118,2026-04-07,2028-04-06,181,WH-BLR,synthetic
YGM-DIS-0072,LOT-000119,2026-01-10,2028-01-10,352,SVC-CHN,synthetic
YGM-DIS-0073,LOT-000120,2025-09-08,2027-09-08,346,WH-DEL,synthetic
YGM-DIS-0073,LOT-000121,2026-05-12,2028-05-11,117,WH-BLR,synthetic
YGM-DIS-0073,LOT-000122,2025-08-02,2027-08-02,33,PLT-PUNE,synthetic
YGM-DIS-0073,LOT-000123,2026-02-20,2028-02-20,159,DC-MUM,synthetic
YGM-DIS-0074,LOT-000124,2026-01-25,2028-01-25,153,WH-DEL,synthetic
YGM-DIS-0074,LOT-000125,2026-04-04,2028-04-03,8,WH-BLR,synthetic
YGM-DIS-0075,LOT-000126,2026-03-07,2028-03-06,71,WH-BLR,synthetic
YGM-DIS-0075,LOT-000127,2025-09-05,2027-09-05,365,DC-MUM,synthetic
YGM-DIS-0075,LOT-000128,2025-09-21,2027-09-21,291,WH-DEL,synthetic
YGM-DIS-0075,LOT-000129,2026-04-29,2028-04-28,208,PLT-PUNE,synthetic
YGM-DIS-0076,LOT-000130,2026-05-26,2028-05-25,240,PLT-PUNE,synthetic
YGM-DIS-0076,LOT-000131,2025-12-26,2027-12-26,299,WH-BLR,synthetic
YGM-DIS-0076,LOT-000132,2025-08-15,2027-08-15,212,WH-BLR,synthetic
YGM-DIS-0076,LOT-000133,2026-01-07,2028-01-07,63,WH-BLR,synthetic
YGM-DIS-0077,LOT-000134,2025-12-20,2027-12-20,92,SVC-CHN,synthetic
YGM-DIS-0078,LOT-000135,2025-06-16,2027-06-16,475,WH-DEL,synthetic
YGM-DIS-0078,LOT-000136,2026-04-20,2028-04-19,228,PLT-PUNE,synthetic
YGM-DIS-0078,LOT-000137,2026-01-31,2028-01-31,228,SVC-CHN,synthetic
YGM-DIS-0078,LOT-000138,2025-11-11,2027-11-11,273,PLT-PUNE,synthetic
YGM-DIS-0079,LOT-000139,2025-12-28,2027-12-28,386,WH-DEL,synthetic
YGM-DIS-0079,LOT-000140,2026-02-11,2028-02-11,175,DC-MUM,synthetic
YGM-DIS-0079,LOT-000141,2026-04-26,2028-04-25,266,PLT-PUNE,synthetic
YGM-DIS-0079,LOT-000142,2025-09-06,2027-09-06,266,DC-MUM,synthetic
YGM-DIS-0080,LOT-000143,2025-12-07,2027-12-07,377,DC-MUM,synthetic
YGM-DIS-0080,LOT-000144,2026-02-04,2028-02-04,57,DC-MUM,synthetic
YGM-DIS-0080,LOT-000145,2026-01-24,2028-01-24,106,DC-MUM,synthetic
YGM-DIS-0081,LOT-000146,2025-07-04,2028-07-03,43,DC-MUM,synthetic
YGM-DIS-0081,LOT-000147,2025-07-18,2028-07-17,257,WH-BLR,synthetic
YGM-DIS-0082,LOT-000148,2025-06-21,2028-06-20,478,SVC-CHN,synthetic
YGM-DIS-0082,LOT-000149,2025-07-10,2028-07-09,330,SVC-CHN,synthetic
YGM-DIS-0082,LOT-000150,2025-12-21,2028-12-20,447,WH-DEL,synthetic
YGM-DIS-0082,LOT-000151,2026-03-19,2029-03-18,230,PLT-PUNE,synthetic
YGM-DIS-0083,LOT-000152,2025-10-21,2028-10-20,328,WH-DEL,synthetic
YGM-DIS-0083,LOT-000153,2026-01-15,2029-01-14,307,PLT-PUNE,synthetic
YGM-DIS-0083,LOT-000154,2025-12-06,2028-12-05,264,PLT-PUNE,synthetic
YGM-DIS-0083,LOT-000155,2025-12-28,2028-12-27,241,WH-BLR,synthetic
YGM-DIS-0084,LOT-000156,2026-05-06,2029-05-05,193,WH-DEL,synthetic
YGM-DIS-0085,LOT-000157,2025-07-09,2028-07-08,447,PLT-PUNE,synthetic
YGM-DIS-0086,LOT-000158,2025-10-11,2028-10-10,302,SVC-CHN,synthetic
YGM-DIS-0086,LOT-000159,2026-05-14,2029-05-13,235,SVC-CHN,synthetic
YGM-DIS-0086,LOT-000160,2025-07-06,2028-07-05,101,WH-DEL,synthetic
YGM-DIS-0086,LOT-000161,2025-07-30,2028-07-29,248,SVC-CHN,synthetic
YGM-SPA-0087,LOT-000162,2026-05-04,,30,PLT-PUNE,synthetic
YGM-SPA-0087,LOT-000163,2025-12-11,,7,SVC-CHN,synthetic
YGM-SPA-0088,LOT-000164,2026-05-15,,17,WH-BLR,synthetic
YGM-SPA-0088,LOT-000165,2025-10-23,,35,SVC-CHN,synthetic
YGM-SPA-0089,LOT-000166,2025-11-30,,25,WH-DEL,synthetic
YGM-SPA-0089,LOT-000167,2025-11-18,,28,WH-DEL,synthetic
YGM-SPA-0090,LOT-000168,2025-07-16,,23,PLT-PUNE,synthetic
YGM-SPA-0091,LOT-000169,2026-04-17,,37,WH-BLR,synthetic
YGM-SPA-0091,LOT-000170,2026-01-10,,18,SVC-CHN,synthetic
YGM-SPA-0091,LOT-000171,2026-03-20,,23,PLT-PUNE,synthetic
YGM-SPA-0092,LOT-000172,2025-12-07,,21,WH-BLR,synthetic
YGM-SPA-0092,LOT-000173,2026-03-30,,40,PLT-PUNE,synthetic
YGM-SPA-0093,LOT-000174,2025-08-22,,26,WH-DEL,synthetic
YGM-SPA-0093,LOT-000175,2026-03-31,,35,PLT-PUNE,synthetic
YGM-SPA-0093,LOT-000176,2025-07-09,,29,SVC-CHN,synthetic
YGM-SPA-0094,LOT-000177,2026-05-26,,25,WH-DEL,synthetic
YGM-SPA-0094,LOT-000178,2026-03-04,,15,WH-DEL,synthetic
YGM-SPA-0094,LOT-000179,2025-09-29,,14,DC-MUM,synthetic
YGM-SPA-0095,LOT-000180,2026-03-17,,6,WH-DEL,synthetic
YGM-SPA-0095,LOT-000181,2026-04-14,,34,SVC-CHN,synthetic
YGM-SPA-0096,LOT-000182,2025-07-01,,23,SVC-CHN,synthetic
YGM-SPA-0097,LOT-000183,2025-08-03,,26,DC-MUM,synthetic
YGM-SPA-0097,LOT-000184,2026-03-13,,13,SVC-CHN,synthetic
YGM-SPA-0098,LOT-000185,2025-05-31,,30,PLT-PUNE,synthetic
YGM-SPA-0098,LOT-000186,2025-11-06,,25,DC-MUM,synthetic
YGM-SPA-0099,LOT-000187,2025-07-27,,20,WH-BLR,synthetic
YGM-SPA-0099,LOT-000188,2026-02-05,,36,DC-MUM,synthetic
YGM-SPA-0099,LOT-000189,2025-12-28,,32,DC-MUM,synthetic
YGM-SPA-0099,LOT-000190,2025-11-28,,38,WH-BLR,synthetic
YGM-SPA-0100,LOT-000191,2026-01-11,,26,SVC-CHN,synthetic
YGM-SPA-0100,LOT-000192,2025-09-07,,28,DC-MUM,synthetic
YGM-SPA-0100,LOT-000193,2026-02-22,,40,DC-MUM,synthetic
YGM-SPA-0100,LOT-000194,2026-01-27,,5,WH-BLR,synthetic
YGM-SPA-0101,LOT-000195,2025-08-25,,8,SVC-CHN,synthetic
YGM-SPA-0101,LOT-000196,2026-04-02,,20,PLT-PUNE,synthetic
YGM-SPA-0101,LOT-000197,2026-03-14,,19,WH-BLR,synthetic
YGM-SPA-0102,LOT-000198,2025-10-24,,7,DC-MUM,synthetic
YGM-SPA-0102,LOT-000199,2025-10-17,,24,PLT-PUNE,synthetic
YGM-SPA-0103,LOT-000200,2026-05-08,,27,SVC-CHN,synthetic
YGM-SPA-0103,LOT-000201,2025-11-25,,17,WH-BLR,synthetic
YGM-SPA-0103,LOT-000202,2026-04-24,,25,DC-MUM,synthetic
YGM-SPA-0103,LOT-000203,2026-05-21,,22,PLT-PUNE,synthetic
YGM-SPA-0104,LOT-000204,2026-03-22,,10,PLT-PUNE,synthetic
YGM-SPA-0104,LOT-000205,2026-01-09,,32,DC-MUM,synthetic
YGM-SPA-0104,LOT-000206,2025-06-08,,32,WH-BLR,synthetic
YGM-SPA-0105,LOT-000207,2026-04-25,2027-04-25,3,WH-DEL,synthetic
YGM-SPA-0106,LOT-000208,2026-03-20,2027-03-20,37,SVC-CHN,synthetic
YGM-SPA-0106,LOT-000209,2025-09-07,2026-09-07,29,PLT-PUNE,synthetic
YGM-SPA-0107,LOT-000210,2026-02-03,2027-02-03,21,PLT-PUNE,synthetic
YGM-SPA-0107,LOT-000211,2026-05-11,2027-05-11,17,WH-BLR,synthetic
YGM-SPA-0107,LOT-000212,2025-07-12,2026-07-12,31,PLT-PUNE,synthetic
YGM-SPA-0108,LOT-000213,2025-09-22,2026-09-22,40,SVC-CHN,synthetic
YGM-SPA-0109,LOT-000214,2025-07-16,2026-07-16,34,SVC-CHN,synthetic
YGM-SPA-0110,LOT-000215,2025-06-02,2026-06-02,11,WH-DEL,synthetic
YGM-SPA-0110,LOT-000216,2025-10-28,2026-10-28,2,SVC-CHN,synthetic
YGM-CON-0111,LOT-000217,2026-02-01,2029-01-31,297,WH-BLR,synthetic
YGM-CON-0111,LOT-000218,2026-03-01,2029-02-28,345,PLT-PUNE,synthetic
YGM-CON-0111,LOT-000219,2025-09-09,2028-09-08,189,PLT-PUNE,synthetic
YGM-CON-0112,LOT-000220,2025-11-17,2028-11-16,452,WH-BLR,synthetic
YGM-CON-0113,LOT-000221,2025-07-14,2028-07-13,203,WH-DEL,synthetic
YGM-CON-0114,LOT-000222,2026-05-27,2029-05-26,187,PLT-PUNE,synthetic
YGM-CON-0114,LOT-000223,2025-12-10,2028-12-09,128,PLT-PUNE,synthetic
YGM-CON-0114,LOT-000224,2025-08-11,2028-08-10,381,WH-DEL,synthetic
YGM-CON-0115,LOT-000225,2026-05-13,2029-05-12,185,SVC-CHN,synthetic
YGM-CON-0115,LOT-000226,2025-12-13,2028-12-12,421,DC-MUM,synthetic
YGM-CON-0116,LOT-000227,2025-06-13,2028-06-12,250,DC-MUM,synthetic
YGM-CON-0116,LOT-000228,2026-03-27,2029-03-26,37,WH-BLR,synthetic
YGM-CON-0116,LOT-000229,2026-05-17,2029-05-16,155,DC-MUM,synthetic
YGM-CON-0116,LOT-000230,2026-05-13,2029-05-12,410,DC-MUM,synthetic
YGM-CON-0117,LOT-000231,2025-12-25,2027-12-25,482,WH-DEL,synthetic
YGM-CON-0118,LOT-000232,2025-08-30,2027-08-30,247,WH-DEL,synthetic
YGM-CON-0118,LOT-000233,2026-05-17,2028-05-16,390,DC-MUM,synthetic
YGM-CON-0118,LOT-000234,2026-01-09,2028-01-09,187,PLT-PUNE,synthetic
YGM-CON-0118,LOT-000235,2025-07-04,2027-07-04,174,WH-DEL,synthetic
YGM-CON-0119,LOT-000236,2025-11-28,2027-11-28,228,WH-BLR,synthetic
YGM-CON-0120,LOT-000237,2025-11-19,2027-11-19,178,DC-MUM,synthetic
YGM-CON-0120,LOT-000238,2025-09-23,2027-09-23,359,WH-BLR,synthetic
YGM-CON-0120,LOT-000239,2025-11-28,2027-11-28,478,SVC-CHN,synthetic
YGM-CON-0120,LOT-000240,2026-01-19,2028-01-19,415,PLT-PUNE,synthetic
YGM-CON-0121,LOT-000241,2026-04-25,2028-04-24,225,SVC-CHN,synthetic
YGM-CON-0121,LOT-000242,2026-03-04,2028-03-03,284,WH-DEL,synthetic
YGM-CON-0121,LOT-000243,2025-12-22,2027-12-22,57,PLT-PUNE,synthetic
YGM-CON-0121,LOT-000244,2025-12-19,2027-12-19,343,WH-DEL,synthetic
YGM-DIA-0122,LOT-000245,2025-10-19,2026-04-17,313,WH-BLR,synthetic
YGM-DIA-0122,LOT-000246,2026-03-11,2026-09-07,358,WH-BLR,synthetic
YGM-DIA-0122,LOT-000247,2025-12-07,2026-06-05,233,PLT-PUNE,synthetic
YGM-DIA-0123,LOT-000248,2025-07-25,2026-01-21,227,WH-DEL,synthetic
YGM-DIA-0123,LOT-000249,2025-07-12,2026-01-08,410,PLT-PUNE,synthetic
YGM-DIA-0123,LOT-000250,2026-04-27,2026-10-24,348,WH-BLR,synthetic
YGM-DIA-0124,LOT-000251,2025-09-15,2026-03-14,415,DC-MUM,synthetic
YGM-DIA-0124,LOT-000252,2026-05-20,2026-11-16,78,SVC-CHN,synthetic
YGM-DIA-0124,LOT-000253,2025-06-22,2025-12-19,405,WH-BLR,synthetic
YGM-DIA-0125,LOT-000254,2026-04-01,2026-09-28,39,DC-MUM,synthetic
YGM-DIA-0126,LOT-000255,2025-12-01,2026-05-30,201,SVC-CHN,synthetic
YGM-DIA-0126,LOT-000256,2026-05-19,2026-11-15,314,DC-MUM,synthetic
YGM-DIA-0126,LOT-000257,2025-06-22,2025-12-19,235,WH-DEL,synthetic
YGM-DIA-0127,LOT-000258,2025-10-20,2026-04-18,395,PLT-PUNE,synthetic
YGM-DIA-0127,LOT-000259,2025-08-15,2026-02-11,75,SVC-CHN,synthetic
YGM-DIA-0127,LOT-000260,2025-11-29,2026-05-28,208,WH-DEL,synthetic
YGM-DIA-0128,LOT-000261,2026-01-28,2026-07-27,496,PLT-PUNE,synthetic
YGM-DIA-0128,LOT-000262,2026-05-22,2026-11-18,381,DC-MUM,synthetic
YGM-DIA-0128,LOT-000263,2025-09-22,2026-03-21,270,WH-BLR,synthetic
YGM-DIA-0129,LOT-000264,2026-01-21,2026-07-20,401,WH-DEL,synthetic
YGM-DIA-0130,LOT-000265,2026-02-15,2026-05-16,318,WH-DEL,synthetic
YGM-DIA-0130,LOT-000266,2025-06-14,2025-09-12,474,WH-BLR,synthetic
YGM-DIA-0130,LOT-000267,2026-02-22,2026-05-23,67,DC-MUM,synthetic
YGM-DIA-0130,LOT-000268,2026-04-28,2026-07-27,236,DC-MUM,synthetic
YGM-DIA-0131,LOT-000269,2026-04-21,2026-07-20,419,WH-DEL,synthetic
YGM-DIA-0131,LOT-000270,2025-06-28,2025-09-26,182,PLT-PUNE,synthetic
YGM-DIA-0131,LOT-000271,2025-08-27,2025-11-25,282,WH-DEL,synthetic
YGM-DIA-0131,LOT-000272,2026-01-02,2026-04-02,440,DC-MUM,synthetic
YGM-DIA-0132,LOT-000273,2025-12-01,2026-03-01,265,DC-MUM,synthetic
YGM-DIA-0132,LOT-000274,2026-04-03,2026-07-02,107,DC-MUM,synthetic
YGM-DIA-0133,LOT-000275,2025-09-25,2025-12-24,18,WH-DEL,synthetic
YGM-DIA-0133,LOT-000276,2025-08-25,2025-11-23,298,WH-DEL,synthetic
